Suburb,Month,Year,avg_price
ASCOT VALE,February,2017,1018585.714
ASCOT VALE,March,2017,1247666.667
ASCOT VALE,April,2017,1182340
ASCOT VALE,May,2017,1212388.235
ASCOT VALE,June,2017,1190177.5
ASCOT VALE,July,2017,992848
ASCOT VALE,August,2017,1275183.333
ASCOT VALE,September,2017,915261.1111
ASHBURTON,February,2016,1506365
ASHBURTON,April,2016,1471932.5
ASHBURTON,May,2016,1642380.7
ASHBURTON,June,2016,1421818.333
ASHBURTON,July,2016,1440000
ASHBURTON,August,2016,1694825.875
ASHBURTON,September,2016,1914125
ASHBURTON,October,2016,1364800
ASHBURTON,November,2016,1503103.5
ASHBURTON,December,2016,1578961.429
ASHBURTON,February,2017,1712031.125
ASHBURTON,March,2017,1758943.857
ASHBURTON,April,2017,1543277.5
ASHBURTON,May,2017,1796773
ASHBURTON,June,2017,1991655.182
ASHBURTON,July,2017,1464510
ASHBURTON,August,2017,1674563.182
ASHBURTON,September,2017,1497861
ASHWOOD,February,2016,1094856
ASHWOOD,April,2016,997318.25
ASHWOOD,May,2016,1159795.5
ASHWOOD,June,2016,1021942.667
ASHWOOD,July,2016,1192208.5
ASHWOOD,August,2016,1137018.429
ASHWOOD,September,2016,1146530.333
ASHWOOD,October,2016,1401171.2
ASHWOOD,November,2016,1044536.545
ASHWOOD,December,2016,1042942.4
ASHWOOD,February,2017,1156883.4
ASHWOOD,March,2017,1085631
ASHWOOD,April,2017,1117571.429
ASHWOOD,May,2017,1138892.778
ASHWOOD,June,2017,1270000
ASHWOOD,July,2017,1283833.333
ASHWOOD,August,2017,1253333.333
ASHWOOD,September,2017,1154733.4
ASPENDALE,May,2017,1610000
ASPENDALE,June,2017,1040250
ASPENDALE,July,2017,1019694.5
ASPENDALE,August,2017,1495700
ASPENDALE,September,2017,1174223.857
ASPENDALE GARDENS,July,2017,840000
ASPENDALE GARDENS,September,2017,832500
ATTWOOD,June,2017,640000
ATTWOOD,September,2017,640000
AVONDALE HEIGHTS,April,2016,713100
AVONDALE HEIGHTS,May,2016,931657.4444
AVONDALE HEIGHTS,June,2016,977500
AVONDALE HEIGHTS,July,2016,714250
AVONDALE HEIGHTS,August,2016,724677.125
AVONDALE HEIGHTS,September,2016,748611.1111
AVONDALE HEIGHTS,October,2016,794101.8889
AVONDALE HEIGHTS,November,2016,722601.8889
AVONDALE HEIGHTS,December,2016,1061806
AVONDALE HEIGHTS,February,2017,812903.1667
AVONDALE HEIGHTS,March,2017,736000
AVONDALE HEIGHTS,April,2017,952927.125
AVONDALE HEIGHTS,May,2017,932000
AVONDALE HEIGHTS,June,2017,910600
AVONDALE HEIGHTS,July,2017,790318.1818
AVONDALE HEIGHTS,August,2017,869139
AVONDALE HEIGHTS,September,2017,775500
BALACLAVA,May,2016,445286.75
BALACLAVA,June,2016,902642.8
BALACLAVA,July,2016,1284214
BALACLAVA,August,2016,497500
BALACLAVA,September,2016,1181738
BALACLAVA,October,2016,511250
BALACLAVA,November,2016,778333.3333
BALACLAVA,December,2016,410000
BALACLAVA,February,2017,1335500
BALACLAVA,March,2017,589147
BALACLAVA,April,2017,465000
BALACLAVA,May,2017,450000
BALACLAVA,June,2017,882500
BALACLAVA,July,2017,434333.3333
BALACLAVA,August,2017,1004875
BALACLAVA,September,2017,672358.2857
BALWYN,February,2016,450000
BALWYN,April,2016,1576471.667
BALWYN,May,2016,1992105.76
BALWYN,June,2016,2107311.2
BALWYN,July,2016,2120099.556
BALWYN,August,2016,1579518.882
BALWYN,September,2016,1665035.389
BALWYN,October,2016,1695330
BALWYN,November,2016,1919145.19
BALWYN,December,2016,1986409.091
BALWYN,February,2017,2049321
BALWYN,March,2017,2071171.727
BALWYN,April,2017,1296580
BALWYN,May,2017,1408383.333
BALWYN,June,2017,2071806.667
BALWYN,July,2017,2092935
BALWYN,August,2017,1757466.857
BALWYN,September,2017,1993994.222
BALWYN NORTH,April,2016,1916996.154
BALWYN NORTH,May,2016,1582081.815
BALWYN NORTH,June,2016,1782838.84
BALWYN NORTH,July,2016,1657571.778
BALWYN NORTH,August,2016,1830825.227
BALWYN NORTH,September,2016,1707855.588
BALWYN NORTH,October,2016,1835548.929
BALWYN NORTH,November,2016,1627091.44
BALWYN NORTH,December,2016,2004441.25
BALWYN NORTH,February,2017,1646500.111
BALWYN NORTH,March,2017,1814930
BALWYN NORTH,April,2017,1821598.9
BALWYN NORTH,May,2017,1675197.833
BALWYN NORTH,June,2017,1786646.45
BALWYN NORTH,July,2017,1661490.643
BALWYN NORTH,August,2017,2033390.056
