Suburb,avg_price
Ringwood,927869.880952381
Ringwood East,941326.0869565217
Ringwood North,939333.2941176471
Ripponlea,718250
Rosanna,966648.6590909091
Rowville,912740.3157894737
Roxburgh Park,498743.4516129032
Sandhurst,655000
Sandringham,1565764.780487805
Scoresby,952790.9090909091
Seabrook,593333.3333333334
Seaford,703615.9565217391
Seaholme,1222857.142857143
Seddon,1000225.9875
Skye,597849
South Kingsville,748647.7575757576
South Melbourne,1340961.1838235294
South Morang,628938.7358490566
South Yarra,1060594.4346504558
Southbank,614497.3968253968
Spotswood,928045.8604651163
Springvale,751041.6666666666
Springvale South,725000
St Albans,588581.2741935484
St Helena,1029666.6666666666
St Kilda,876112.687919463
Strathmore,1178111.8016528925
Strathmore Heights,871333.2222222222
Sunbury,525885.7666666667
Sunshine,708006.0896551724
Sunshine North,631013.7118644068
Sunshine West,569182.7928571429
Surrey Hills,1603708.706976744
Sydenham,584733.3333333334
Tarneit,522379.2727272727
Taylors Hill,652272.7272727273
Taylors Lakes,710252.84375
Templestowe,1524640.5789473683
Templestowe Lower,1161725.1419753085
The Basin,584550
Thomastown,618947.7
Thornbury,977387.0266666666
Toorak,1852284.014084507
Travancore,973779.7857142857
Truganina,521002.2
Tullamarine,574724.5
Vermont,1017800.0476190476
Vermont South,1191813.875
Viewbank,962676.5
Wallan,366000
Wantirna,941047.7272727273
Wantirna South,1078376.076923077
Warrandyte,1132000
Waterways,1248500
Watsonia,752749.7066666667
Watsonia North,764474.4285714285
Werribee,521862.2077922078
West Footscray,759675.1824324324
West Melbourne,1001454.7307692308
Westmeadows,592876.9090909091
Wheelers Hill,1258392.7073170731
Whittlesea,520500
Williams Landing,555000
Williamstown,1302726.081632653
Williamstown North,931479.1666666666
Windsor,1054187.8673469387
Wollert,536150.9411764706
Wyndham Vale,531949.6521739131
Yallambie,832381.05
Yarra Glen,620000
Yarraville,974614.4298245613
