Suburb,DateMonth,avg_price
Ascot Vale,1/02/2017,1018585.71
Ascot Vale,1/03/2017,1247666.67
Ascot Vale,1/04/2017,1182340.00
Ascot Vale,1/05/2017,1212388.24
Ascot Vale,1/06/2017,1190177.50
Ascot Vale,1/07/2017,992848.00
Ascot Vale,1/08/2017,1275183.33
Ascot Vale,1/09/2017,915261.11
Ashburton,1/02/2016,1506365.00
Ashburton,1/04/2016,1471932.50
Ashburton,1/05/2016,1642380.70
Ashburton,1/06/2016,1421818.33
Ashburton,1/07/2016,1440000.00
Ashburton,1/08/2016,1694825.88
Ashburton,1/09/2016,1914125.00
Ashburton,1/10/2016,1364800.00
Ashburton,1/11/2016,1503103.50
Ashburton,1/12/2016,1578961.43
Ashburton,1/02/2017,1712031.13
Ashburton,1/03/2017,1758943.86
Ashburton,1/04/2017,1543277.50
Ashburton,1/05/2017,1796773.00
Ashburton,1/06/2017,1991655.18
Ashburton,1/07/2017,1464510.00
Ashburton,1/08/2017,1674563.18
Ashburton,1/09/2017,1497861.00
Ashwood,1/02/2016,1094856.00
Ashwood,1/04/2016,997318.25
Ashwood,1/05/2016,1159795.50
Ashwood,1/06/2016,1021942.67
Ashwood,1/07/2016,1192208.50
Ashwood,1/08/2016,1137018.43
Ashwood,1/09/2016,1146530.33
Ashwood,1/10/2016,1401171.20
Ashwood,1/11/2016,1044536.55
Ashwood,1/12/2016,1042942.40
Ashwood,1/02/2017,1156883.40
Ashwood,1/03/2017,1085631.00
Ashwood,1/04/2017,1117571.43
Ashwood,1/05/2017,1138892.78
Ashwood,1/06/2017,1270000.00
Ashwood,1/07/2017,1283833.33
Ashwood,1/08/2017,1253333.33
Ashwood,1/09/2017,1154733.40
Aspendale,1/05/2017,1610000.00
Aspendale,1/06/2017,1040250.00
Aspendale,1/07/2017,1019694.50
Aspendale,1/08/2017,1495700.00
Aspendale,1/09/2017,1174223.86
Aspendale Gardens,1/07/2017,840000.00
Aspendale Gardens,1/09/2017,832500.00
Attwood,1/06/2017,640000.00
Attwood,1/09/2017,640000.00
Avondale Heights,1/04/2016,713100.00
Avondale Heights,1/05/2016,931657.44
Avondale Heights,1/06/2016,977500.00
Avondale Heights,1/07/2016,714250.00
Avondale Heights,1/08/2016,724677.13
Avondale Heights,1/09/2016,748611.11
Avondale Heights,1/10/2016,794101.89
Avondale Heights,1/11/2016,722601.89
Avondale Heights,1/12/2016,1061806.00
Avondale Heights,1/02/2017,812903.17
Avondale Heights,1/03/2017,736000.00
Avondale Heights,1/04/2017,952927.13
Avondale Heights,1/05/2017,932000.00
Avondale Heights,1/06/2017,910600.00
Avondale Heights,1/07/2017,790318.18
Avondale Heights,1/08/2017,869139.00
Avondale Heights,1/09/2017,775500.00
Balaclava,1/05/2016,445286.75
Balaclava,1/06/2016,902642.80
Balaclava,1/07/2016,1284214.00
Balaclava,1/08/2016,497500.00
Balaclava,1/09/2016,1181738.00
Balaclava,1/10/2016,511250.00
Balaclava,1/11/2016,778333.33
Balaclava,1/12/2016,410000.00
Balaclava,1/02/2017,1335500.00
Balaclava,1/03/2017,589147.00
Balaclava,1/04/2017,465000.00
Balaclava,1/05/2017,450000.00
Balaclava,1/06/2017,882500.00
Balaclava,1/07/2017,434333.33
Balaclava,1/08/2017,1004875.00
Balaclava,1/09/2017,672358.29
Balwyn,1/02/2016,450000.00
Balwyn,1/04/2016,1576471.67
Balwyn,1/05/2016,1992105.76
Balwyn,1/06/2016,2107311.20
Balwyn,1/07/2016,2120099.56
Balwyn,1/08/2016,1579518.88
Balwyn,1/09/2016,1665035.39
Balwyn,1/10/2016,1695330.00
Balwyn,1/11/2016,1919145.19
Balwyn,1/12/2016,1986409.09
Balwyn,1/02/2017,2049321.00
Balwyn,1/03/2017,2071171.73
Balwyn,1/04/2017,1296580.00
Balwyn,1/05/2017,1408383.33
Balwyn,1/06/2017,2071806.67
Balwyn,1/07/2017,2092935.00
Balwyn,1/08/2017,1757466.86
Balwyn,1/09/2017,1993994.22
Balwyn North,1/04/2016,1916996.15
Balwyn North,1/05/2016,1582081.81
Balwyn North,1/06/2016,1782838.84
Balwyn North,1/07/2016,1657571.78
Balwyn North,1/08/2016,1830825.23
Balwyn North,1/09/2016,1707855.59
Balwyn North,1/10/2016,1835548.93
Balwyn North,1/11/2016,1627091.44
Balwyn North,1/12/2016,2004441.25
Balwyn North,1/02/2017,1646500.11
Balwyn North,1/03/2017,1814930.00
Balwyn North,1/04/2017,1821598.90
Balwyn North,1/05/2017,1675197.83
Balwyn North,1/06/2017,1786646.45
Balwyn North,1/07/2017,1661490.64
Balwyn North,1/08/2017,2033390.06
Balwyn North,1/09/2017,1821647.43
Bayswater,1/05/2017,657500.00
Bayswater,1/06/2017,758418.80
Bayswater,1/07/2017,686333.33
Bayswater,1/08/2017,630797.00
Bayswater,1/09/2017,820500.00
Bayswater North,1/06/2017,741166.50
Bayswater North,1/07/2017,683171.40
Bayswater North,1/08/2017,678857.00
Bayswater North,1/09/2017,793000.00
Beaconsfield,1/07/2017,581333.33
Beaconsfield Upper,1/06/2017,675000.00
Beaumaris,1/05/2017,2364375.00
Beaumaris,1/06/2017,1733458.33
Beaumaris,1/07/2017,1373575.00
Beaumaris,1/08/2017,1860200.50
Beaumaris,1/09/2017,1682379.17
Bellfield,1/04/2016,770000.00
Bellfield,1/05/2016,635000.00
Bellfield,1/06/2016,804867.00
Bellfield,1/07/2016,752000.00
Bellfield,1/08/2016,773000.00
Bellfield,1/09/2016,780000.00
Bellfield,1/10/2016,890000.00
Bellfield,1/11/2016,835000.00
Bellfield,1/12/2016,804867.00
Bellfield,1/02/2017,720000.00
Bellfield,1/03/2017,778622.33
Bellfield,1/04/2017,849433.50
Bellfield,1/05/2017,875500.00
Bellfield,1/07/2017,850291.50
Bellfield,1/08/2017,852333.33
Bellfield,1/09/2017,900000.00
Bentleigh,1/02/2016,1222500.00
Bentleigh,1/04/2016,1572660.20
Bentleigh,1/05/2016,1291966.83
Bentleigh,1/06/2016,1330413.23
Bentleigh,1/07/2016,1114000.00
Bentleigh,1/08/2016,1325730.76
Bentleigh,1/09/2016,1155856.58
Bentleigh,1/10/2016,1240767.23
Bentleigh,1/11/2016,1233013.73
Bentleigh,1/12/2016,1259079.00
Bentleigh,1/02/2017,1406000.00
Bentleigh,1/03/2017,1158740.08
Bentleigh,1/04/2017,960861.27
Bentleigh,1/05/2017,1359558.33
Bentleigh,1/06/2017,1330212.08
Bentleigh,1/07/2017,1214500.00
Bentleigh,1/08/2017,1401079.00
Bentleigh,1/09/2017,1456156.08
Bentleigh East,1/02/2016,788435.00
Bentleigh East,1/04/2016,971800.00
Bentleigh East,1/05/2016,996996.29
Bentleigh East,1/06/2016,981595.88
Bentleigh East,1/07/2016,1067437.50
Bentleigh East,1/08/2016,1134945.04
Bentleigh East,1/09/2016,1088130.08
Bentleigh East,1/10/2016,992755.21
Bentleigh East,1/11/2016,1069963.53
Bentleigh East,1/12/2016,1048535.82
Bentleigh East,1/02/2017,1133062.43
Bentleigh East,1/03/2017,1138301.87
Bentleigh East,1/04/2017,1102709.47
Bentleigh East,1/05/2017,1191266.85
Bentleigh East,1/06/2017,1286987.38
Bentleigh East,1/07/2017,1127327.00
Bentleigh East,1/08/2017,1216928.22
Bentleigh East,1/09/2017,1182822.24
Berwick,1/05/2017,782333.33
Berwick,1/06/2017,649250.00
Berwick,1/07/2017,776821.43
Berwick,1/08/2017,707666.67
Berwick,1/09/2017,894541.67
Black Rock,1/05/2017,851750.00
Black Rock,1/06/2017,1165333.33
Black Rock,1/07/2017,907500.00
Black Rock,1/08/2017,1386089.25
Black Rock,1/09/2017,1639214.29
Blackburn,1/06/2017,1363765.44
Blackburn,1/07/2017,1173674.70
Blackburn,1/08/2017,1232546.00
Blackburn,1/09/2017,1454476.21
Blackburn North,1/06/2017,1029500.00
Blackburn North,1/07/2017,985055.50
Blackburn North,1/08/2017,1275000.00
Blackburn North,1/09/2017,1189400.00
Blackburn South,1/05/2017,1258000.00
Blackburn South,1/06/2017,1111261.17
Blackburn South,1/07/2017,1025509.57
Blackburn South,1/08/2017,1097366.71
Blackburn South,1/09/2017,1095011.17
Bonbeach,1/06/2017,836000.00
Bonbeach,1/08/2017,920000.00
Bonbeach,1/09/2017,1211666.67
Boronia,1/05/2017,748833.00
Boronia,1/06/2017,752666.50
Boronia,1/07/2017,785104.13
Boronia,1/08/2017,769333.33
Boronia,1/09/2017,739733.20
Box Hill,1/04/2016,1056666.67
Box Hill,1/05/2016,1250208.25
Box Hill,1/06/2016,1568011.43
Box Hill,1/07/2016,1080866.60
Box Hill,1/08/2016,832437.33
Box Hill,1/09/2016,1508961.86
Box Hill,1/10/2016,1173042.29
Box Hill,1/11/2016,1381074.70
Box Hill,1/12/2016,1344965.25
Box Hill,1/02/2017,1710000.00
Box Hill,1/03/2017,677453.67
Box Hill,1/04/2017,1428687.20
Box Hill,1/05/2017,1244047.57
Box Hill,1/06/2017,1862666.50
Box Hill,1/07/2017,1606953.67
Box Hill,1/08/2017,1083143.50
Box Hill,1/09/2017,1508572.50
Braybrook,1/04/2016,664424.00
Braybrook,1/05/2016,470000.00
Braybrook,1/06/2016,498333.33
Braybrook,1/07/2016,684969.60
Braybrook,1/08/2016,625833.33
Braybrook,1/09/2016,689472.25
Braybrook,1/10/2016,747463.00
Braybrook,1/11/2016,689187.50
Braybrook,1/12/2016,660317.25
Braybrook,1/02/2017,592000.00
Braybrook,1/03/2017,634500.00
Braybrook,1/04/2017,692385.71
Braybrook,1/05/2017,620333.33
Braybrook,1/06/2017,681474.67
Braybrook,1/07/2017,625700.00
Braybrook,1/08/2017,906884.50
Braybrook,1/09/2017,738577.00
Briar Hill,1/05/2017,590000.00
Briar Hill,1/06/2017,673750.00
Briar Hill,1/07/2017,840000.00
Briar Hill,1/08/2017,820000.00
Briar Hill,1/09/2017,679800.00
Brighton,1/04/2016,1658295.00
Brighton,1/05/2016,1750894.41
Brighton,1/06/2016,2023238.38
Brighton,1/07/2016,1843902.75
Brighton,1/08/2016,1907993.25
Brighton,1/09/2016,1832204.30
Brighton,1/10/2016,1633787.91
Brighton,1/11/2016,2055336.53
Brighton,1/12/2016,2246517.33
Brighton,1/02/2017,1864471.54
Brighton,1/03/2017,2165168.68
Brighton,1/04/2017,2499042.47
Brighton,1/05/2017,2060880.17
Brighton,1/06/2017,1857148.38
Brighton,1/07/2017,1573093.38
Brighton,1/08/2017,2177673.12
Brighton,1/09/2017,2064011.25
Brighton East,1/04/2016,1701288.40
Brighton East,1/05/2016,1517330.84
Brighton East,1/06/2016,1848318.00
Brighton East,1/07/2016,909000.00
